ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
11758097,JC349067,07/14/2019 10:05:00 PM,021XX W FULLERTON AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,false,false,1432,014,32,22,04B,1161480,1915925,2019,07/21/2019 04:11:41 PM,41.924978341,-87.682069511,"(41.924978341, -87.682069511)",16,22535,23,178,40,1,7,180
11757895,JC349076,07/14/2019 10:04:00 PM,010XX E 80TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0624,006,8,44,14,1184388,1852167,2019,07/21/2019 04:11:41 PM,41.749514242,-87.599896609,"(41.749514242, -87.599896609)",9,21546,40,247,35,61,20,227
11758005,JC349131,07/14/2019 10:02:00 PM,014XX W 62ND ST,0560,ASSAULT,SIMPLE,APARTMENT,false,true,0713,007,16,67,08A,1167938,1863635,2019,07/21/2019 04:11:41 PM,41.781352914,-87.659846953,"(41.781352914, -87.659846953)",19,22257,65,277,2,23,17,266
11761377,JC353035,07/14/2019 10:00:00 PM,037XX N Wilton Ave,0810,THEFT,OVER $500,RESIDENCE-GARAGE,false,false,1923,019,44,6,06,1169265,1925083,2019,07/21/2019 04:11:41 PM,41.949942489,-87.653197046,"(41.949942489, -87.653197046)",38,21186,57,727,25,53,5,12
11757939,JC349124,07/14/2019 10:00:00 PM,030XX W LEXINGTON ST,0820,THEFT,$500 AND UNDER,SIDEWALK,false,true,1134,011,28,27,06,1156317,1896547,2019,07/21/2019 04:11:41 PM,41.871909407,-87.701565099,"(41.871909407, -87.701565099)",11,21184,28,36,23,28,16,140
11757912,JC349073,07/14/2019 10:00:00 PM,089XX S STONY ISLAND AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0413,004,8,48,08B,1188353,1846118,2019,07/21/2019 04:11:41 PM,41.732821527,-87.585560041,"(41.732821527, -87.585560041)",9,21202,44,491,35,25,19,246
11758116,JC349286,07/14/2019 10:00:00 PM,033XX N TROY ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,false,false,1733,017,33,21,05,1154790,1922043,2019,07/21/2019 04:11:41 PM,41.941903393,-87.706487318,"(41.941903393, -87.706487318)",2,21538,22,425,20,39,1,23
11758043,JC349170,07/14/2019 10:00:00 PM,072XX S EMERALD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0732,007,6,68,08B,1172596,1856912,2019,07/21/2019 04:11:41 PM,41.762802826,-87.642967574,"(41.762802826, -87.642967574)",17,21559,66,511,32,11,17,214
11757967,JC349081,07/14/2019 10:00:00 PM,039XX W DICKENS AVE,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,false,false,2525,025,26,22,17,1149626,1913661,2019,07/21/2019 04:11:41 PM,41.919004511,-87.725685685,"(41.919004511, -87.725685685)",27,22535,21,76,49,1,6,187
11760109,JC351210,07/14/2019 10:00:00 PM,086XX S DREXEL AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,0632,006,8,44,03,1183735,1847847,2019,07/21/2019 04:11:41 PM,41.737674948,-87.602423899,"(41.737674948, -87.602423899)",9,21546,40,141,35,61,20,241
11759677,JC351052,07/14/2019 10:00:00 PM,025XX N BOSWORTH AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1932,019,32,7,07,1165572,1916754,2019,07/21/2019 04:11:41 PM,41.927166897,-87.667010014,"(41.927166897, -87.667010014)",16,21190,68,770,40,16,5,173
11758015,JC349071,07/14/2019 09:56:00 PM,0000X W SUPERIOR ST,1330,CRIMINAL TRESPASS,TO LAND,PARKING LOT/GARAGE(NON.RESID.),true,false,1832,018,2,8,26,1176127,1905362,2019,07/21/2019 04:11:41 PM,41.895675136,-87.628569146,"(41.895675136, -87.628569146)",22,4446,37,669,11,55,14,72
11761337,JC349040,07/14/2019 09:55:00 PM,031XX W 26TH ST,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1033,010,12,30,08B,,,2019,07/21/2019 04:11:41 PM,,,,,,,,,,,
11758069,JC349033,07/14/2019 09:55:00 PM,003XX N MENARD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,true,1512,015,29,25,14,1137654,1901595,2019,07/21/2019 04:11:41 PM,41.886118287,-87.769963886,"(41.886118287, -87.769963886)",52,22216,26,618,7,32,25,85
11757886,JC349039,07/14/2019 09:54:00 PM,031XX W CARMEN AVE,0820,THEFT,$500 AND UNDER,APARTMENT,false,true,1713,017,33,14,06,1154597,1933714,2019,07/21/2019 04:11:41 PM,41.973933238,-87.706883093,"(41.973933238, -87.706883093)",2,21849,14,749,20,20,1,1
11758107,JC349269,07/14/2019 09:54:00 PM,063XX W WRIGHTWOOD AVE,2028,NARCOTICS,POSS: SYNTHETIC DRUGS,PARK PROPERTY,true,false,2512,025,30,19,18,1133557,1916594,2019,07/21/2019 04:11:41 PM,41.927350272,-87.784656948,"(41.927350272, -87.784656948)",52,22615,19,78,21,2,6,183
11757852,JC349034,07/14/2019 09:50:00 PM,0000X N KEELER AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,1115,011,28,26,18,1148387,1899905,2019,07/21/2019 04:11:41 PM,41.881280617,-87.73059304,"(41.881280617, -87.73059304)",11,21572,27,619,23,30,16,100
11757989,JC349128,07/14/2019 09:50:00 PM,070XX S ADA ST,031A,ROBBERY,ARMED: HANDGUN,RESIDENCE PORCH/HALLWAY,false,false,0734,007,6,67,03,1168542,1858171,2019,07/21/2019 04:11:41 PM,41.766346009,-87.657789909,"(41.766346009, -87.657789909)",17,22257,65,21,32,23,17,216
11757884,JC349043,07/14/2019 09:50:00 PM,051XX N PULASKI RD,0460,BATTERY,SIMPLE,PARK PROPERTY,false,false,1712,017,39,13,08B,1148789,1934191,2019,07/21/2019 04:11:41 PM,41.975356716,-87.728228423,"(41.975356716, -87.728228423)",28,21849,13,748,38,48,1,48
11757982,JC349050,07/14/2019 09:48:00 PM,0000X N MAYFIELD AVE,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,STREET,true,false,1513,015,29,25,18,1137158,1899812,2019,07/21/2019 04:11:41 PM,41.881234421,-87.771828181,"(41.881234421, -87.771828181)",52,22216,26,618,7,32,25,99
11758785,JC349051,07/14/2019 09:45:00 PM,006XX N HARDING AVE,0915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",PARKING LOT/GARAGE(NON.RESID.),false,false,1122,011,37,23,07,1149935,1904227,2019,07/21/2019 04:11:41 PM,41.893110675,-87.724796272,"(41.893110675, -87.724796272)",41,21572,24,584,45,30,16,82
11757916,JC349027,07/14/2019 09:44:00 PM,077XX S ADA ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0612,006,17,71,14,1168783,1853506,2019,07/21/2019 04:11:41 PM,41.753539436,-87.657040981,"(41.753539436, -87.657040981)",17,21554,70,572,31,59,20,230
